trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.5, 'e': 0.9925672259822949}",25,0,-11.092970248053375,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.9924450321351935}",25,0,-49.895013725304025,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.9923218458431429}",30,0,-135.31981237616657,"{0: 16, 1: 2, 2: 11, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.992197667229329}",20,2,-173.81848369132908,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 4}",1
125,False,"{'a': 0.5, 'e': 0.9920724964179307}",35,0,-245.46835766019407,"{0: 18, 1: 5, 2: 8, 3: 0, 4: 4}",0
126,False,"{'a': 0.5, 'e': 0.9919463335341185}",20,0,-125.57401303993636,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.9918191787040556}",20,0,-171.79946241888547,"{0: 9, 1: 4, 2: 2, 3: 3, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.9916910320548965}",20,7,-33.246432802354775,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.9915618937147881}",25,0,-89.7953097721157,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.9914317638128685}",20,0,-78.4104294615059,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.9913006424792677}",25,0,-63.04754488450942,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.9911685298451072}",25,0,-81.49283089093782,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.9910354260424993}",20,0,-158.3751931967043,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.9909013312045479}",25,0,-113.1236883806671,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.990766245465348}",25,0,-140.46996704832176,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.9906301689599851}",20,0,-57.75499576067813,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.9904931018245359}",20,0,-104.65154927002779,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
